City,Population
Des Moines,215636.0
Cedar Rapids,132301.0
Davenport,102169.0
Sioux City,82531.0
Iowa City,7495.0
Waterloo,67912.0
Ames,66023.0
West Des Moines,65606.0
Council Bluffs,62355.0
Ankeny,61938.0
Dubuque,58196.0
Urbandale,43441.0
Cedar Falls,40983.0
Marion,39328.0
Bettendorf,35919.0
Mason City,272.0
Marshalltown,27053.0
Clinton,25416.0
Burlington,24974.0
Ottumwa,24545.0
Fort Dodge,24278.0
Muscatine,23774.0
Johnston,21406.0
Coralville,21103.0
Waukee,20785.0
North Liberty,18829.0
Altoona,18458.0
Clive,17167.0
Indianola,15802.0
Newton,15164.0
Grimes,12839.0
Boone,12487.0
Oskaloosa,11511.0
Spencer,11052.0
Norwalk,10978.0
Storm Lake,10558.0
Fort Madison,10513.0
Keokuk,10324.0
Fairfield,1029.0
Pella,10231.0
Waverly,10094.0
Le Mars,9941.0
Carroll,9904.0
Pleasant Hill,9871.0
Grinnell,9031.0
Mount Pleasant,8581.0
Denison,8337.0
Creston,7784.0
Webster City,7732.0
Decorah,7701.0
Perry,7599.0
Clear Lake,7597.0
Sioux Center,7534.0
Charles City,7396.0
Hiawatha,7333.0
Washington,7313.0
Knoxville,7192.0
Nevada,6754.0
Atlantic,6669.0
Eldridge,6529.0
Bondurant,6191.0
Orange City,6127.0
Independence,6056.0
Maquoketa,601.0
Oelwein,5979.0
Estherville,5796.0
Asbury,5557.0
Anamosa,5476.0
Centerville,5458.0
Algona,5447.0
Clarinda,5388.0
Red Oak,5362.0
Glenwood,5326.0
Winterset,526.0
DeWitt,5203.0
Sheldon,5128.0
Iowa Falls,5122.0
Osceola and Vinton,5103.0
Spirit Lake,5069.0
Manchester,5019.0
Windsor Heights,4953.0
Cherokee,492.0
Shenandoah,4897.0
Harlan,4845.0
Sergeant Bluff,4798.0
Evansdale,4765.0
Polk City,4625.0
Adel,4588.0
Humboldt,4583.0
Mount Vernon,4451.0
Camanche,4334.0
Hampton,4231.0
Carlisle,4162.0
Chariton,4149.0
Jefferson,4137.0
Dyersville,413.0
Saylorville,4009.0
Le Claire,3971.0
Forest City,3928.0
Monticello,3837.0
Rock Valley,3812.0
Carter Lake,3796.0
Huxley,3769.0
Cresco,3768.0
West Liberty,3757.0
Emmetsburg,3728.0
Albia,3727.0
Waukon,3671.0
Osage,3568.0
Robins,3457.0
Eagle Grove,3429.0
New Hampton,3421.0
Story City,3377.0
Tiffin,3351.0
Tipton,3207.0
Williamsburg,3152.0
Garner,3059.0
Milford,3004.0
West Burlington,2927.0
Wilton,2843.0
Hawarden,2836.0
Park View,2818.0
Jesup,2806.0
Onawa,2804.0
Tama,2769.0
